Fecha;TIPO CAMBIO COMPRA;TIPO DE CAMBIO VENTA;
21 ene 2016;529,01;541,56;
22 ene 2016;529,54;542,13;
23 ene 2016;529,77;542,44;
24 ene 2016;529,77;542,44;
25 ene 2016;529,77;542,44;
26 ene 2016;529,89;542,49;
27 ene 2016;530,09;542,78;
28 ene 2016;530,53;543,26;
29 ene 2016;531,29;543,92;
30 ene 2016;531,87;544,57;
31 ene 2016;531,87;544,57;
1 feb 2016;531,87;544,57;
2 feb 2016;531,99;544,65;
3 feb 2016;532,19;544,82;
4 feb 2016;532,21;544,83;
5 feb 2016;532,23;544,83;
6 feb 2016;532,08;544,74;
7 feb 2016;532,08;544,74;
8 feb 2016;532,08;544,74;
9 feb 2016;531,98;544,53;
10 feb 2016;531,44;544,20;
11 feb 2016;531,19;543,95;
12 feb 2016;530,24;542,98;
13 feb 2016;529,41;542,12;
14 feb 2016;529,41;542,12;
15 feb 2016;529,41;542,12;
16 feb 2016;529,47;542,05;
17 feb 2016;529,36;542,01;
18 feb 2016;529,59;542,16;
19 feb 2016;529,45;542,04;
20 feb 2016;529,18;541,82;
21 feb 2016;529,18;541,82;
22 feb 2016;529,18;541,82;
23 feb 2016;529,28;541,75;
24 feb 2016;529,17;541,77;
25 feb 2016;529,23;541,81;
26 feb 2016;529,23;541,82;
27 feb 2016;529,67;542,20;
28 feb 2016;529,67;542,20;
29 feb 2016;529,67;542,20;
1 mar 2016;529,68;542,22;
2 mar 2016;529,59;542,25;
3 mar 2016;529,58;542,24;
4 mar 2016;529,33;542,06;
5 mar 2016;529,43;542,09;
6 mar 2016;529,43;542,09;
7 mar 2016;529,43;542,09;
8 mar 2016;529,52;542,05;
9 mar 2016;529,40;542,02;
10 mar 2016;529,43;542,03;
11 mar 2016;529,07;541,70;
12 mar 2016;529,08;541,67;
13 mar 2016;529,08;541,67;
14 mar 2016;529,08;541,67;
15 mar 2016;528,99;541,57;
16 mar 2016;528,93;541,57;
17 mar 2016;528,94;541,54;
